DEMOGRAPHICS,DEMOGRAPHICS,DEMOGRAPHICS,DEMOGRAPHICS,,"PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS",,HOBBIES & INTERESTS,HOBBIES & INTERESTS,HOBBIES & INTERESTS,HOBBIES & INTERESTS,HOBBIES & INTERESTS,HOBBIES & INTERESTS,HOBBIES & INTERESTS,HOBBIES & INTERESTS,,SPENDING HABITS,,HEALTH HABITS,HEALTH HABITS,,MUSIC PREFERENCES,MUSIC PREFERENCES,MUSIC PREFERENCES,MUSIC PREFERENCES,MUSIC PREFERENCES,,MOVIE PREFERENCES,MOVIE PREFERENCES,MOVIE PREFERENCES,MOVIE PREFERENCES,,PHOBIAS
secondary school,72,no,house/bungalow,,3,5,4,5,5,2,3,5,1,2,3,4,5,,4,4,3,few hours a day,5,2,5,1,,3,,5,current smoker,,5,5,2,3,2,,1,1,1,3,,1
secondary school,96,yes,block of flats,,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,,3,few hours a day,3,3,3,3,,3,,3,tried smoking,,3,3,3,3,3,,3,3,3,3,,3
secondary school,50,no,house/bungalow,,3,3,3,5,4,5,2,4,2,2,3,3,5,,5,1,1,few hours a day,5,5,5,4,,4,,5,never smoked,,3,1,2,4,2,,4,4,5,4,,5
secondary school,55,no,block of flats,,3,3,4,4,5,5,4,5,3,5,4,2,4,,5,,2,few hours a day,4,3,5,4,,2,,3,former smoker,,2,4,5,3,3,,3,2,4,4,,1
secondary school,53,no,block of flats,,3,5,4,2,3,5,5,3,3,2,3,2,5,,5,3,1,few hours a day,5,2,2,2,,3,,1,current smoker,,5,2,2,5,4,,3,2,5,4,,1
college/bachelor degree,54,no,house/bungalow,,3,3,3,5,5,3,3,3,3,3,3,2,3,,3,2,5,few hours a day,5,5,3,3,,1,,4,former smoker,,3,3,3,3,5,,4,5,5,3,,3
secondary school,49,no,block of flats,,3,3,1,5,3,4,5,1,2,3,3,1,3,,3,1,2,most of the day,5,5,1,1,,3,,3,tried smoking,,1,1,2,3,4,,4,3,2,2,,1
secondary school,72,no,block of flats,,4,3,4,3,4,4,5,5,3,5,4,3,4,,5,5,1,few hours a day,5,4,4,3,,5,,3,tried smoking,,4,2,3,3,2,,3,3,4,4,,1
masters degree,49,no,house/bungalow,,4,3,5,5,1,4,1,5,4,4,2,4,3,,4,2,2,few hours a day,5,2,5,1,,3,,1,never smoked,,3,3,4,4,3,,2,3,5,5,,1
college/bachelor degree,47,no,block of flats,,5,3,5,5,5,4,2,4,2,5,3,2,5,,4,1,5,few hours a day,5,2,4,4,,3,,5,never smoked,,5,2,2,3,2,,4,1,5,5,,5
secondary school,57,no,house/bungalow,,3,4,3,4,3,3,2,4,2,4,2,2,4,,5,3,4,few hours a day,4,2,4,2,,1,,2,tried smoking,,4,4,4,3,1,,3,4,4,4,,2
college/bachelor degree,70,no,block of flats,,3,3,1,5,2,4,5,4,2,5,3,4,5,,4,4,1,few hours a day,5,4,2,1,,3,,3,current smoker,,3,1,1,3,5,,2,3,5,5,,5
secondary school,80,yes,house/bungalow,,4,2,3,5,2,3,5,2,3,4,3,4,3,,3,3,1,less than an hour a day,5,4,4,1,,4,,4,never smoked,,2,1,1,4,5,,1,3,3,3,,4
secondary school,55,no,block of flats,,3,3,5,5,4,3,5,3,2,3,3,1,3,,4,3,5,less than an hour a day,5,1,5,2,,3,,4,former smoker,,2,5,5,2,2,,2,2,5,3,,5
college/bachelor degree,67,no,block of flats,,4,2,5,5,2,3,3,3,4,3,4,5,4,,5,4,2,few hours a day,5,4,4,1,,4,,3,former smoker,,4,3,4,4,4,,4,5,5,5,,3
secondary school,60,yes,house/bungalow,,5,3,5,4,1,3,4,4,3,4,2,3,4,,2,2,1,few hours a day,5,3,5,5,,1,,3,current smoker,,3,1,2,5,4,,1,3,4,3,,5
college/bachelor degree,70,no,block of flats,,2,3,5,5,5,4,5,4,3,3,2,5,5,,5,3,2,few hours a day,5,5,2,2,,3,,3,former smoker,,5,3,4,3,2,,5,3,5,5,,3
college/bachelor degree,,no,house/bungalow,,4,,2,5,4,4,5,3,4,1,3,1,5,,4,1,1,few hours a day,5,1,4,1,,3,,3,tried smoking,,3,1,2,5,1,,5,4,5,5,,1
secondary school,76,yes,block of flats,,5,3,5,3,2,5,2,3,3,4,3,2,3,,5,2,1,few hours a day,5,5,1,1,,4,,2,tried smoking,,2,2,3,2,2,,5,4,3,3,,1
secondary school,85,no,house/bungalow,,5,3,5,3,5,3,4,5,3,5,4,4,5,,4,5,5,few hours a day,5,3,5,5,,5,,1,tried smoking,,4,3,4,3,5,,5,4,5,5,,3
college/bachelor degree,53,no,block of flats,,4,4,5,5,3,5,3,5,2,4,3,2,5,,2,1,,few hours a day,4,1,2,1,,5,,4,current smoker,,2,1,2,4,3,,3,3,5,5,,5
secondary school,69,no,house/bungalow,,1,2,4,5,3,4,5,5,3,3,3,2,5,,3,1,1,few hours a day,4,2,4,1,,2,,1,current smoker,,5,2,3,4,2,,3,1,4,3,,1
secondary school,74,no,block of flats,,4,2,5,3,4,4,3,5,2,3,3,2,5,,4,4,5,few hours a day,5,3,4,1,,4,,2,former smoker,,5,2,4,4,4,,3,4,1,4,,3
secondary school,50,no,block of flats,,4,1,1,5,2,4,3,5,3,5,3,3,5,,3,1,1,less than an hour a day,4,1,4,1,,3,,4,tried smoking,,3,1,1,1,1,,1,4,3,3,,3
secondary school,91,no,block of flats,,5,2,4,3,1,4,4,1,3,3,3,3,5,,4,3,2,few hours a day,4,5,4,3,,5,,3,never smoked,,3,2,3,4,4,,3,4,3,3,,1
secondary school,68,no,block of flats,,4,1,1,3,1,4,5,1,2,2,3,3,4,,3,4,1,most of the day,3,4,5,3,,4,,2,never smoked,,1,1,1,1,1,,5,4,5,5,,1
secondary school,55,no,block of flats,,5,3,5,4,1,5,4,2,4,3,3,3,3,,5,2,4,few hours a day,5,2,2,1,,3,,3,tried smoking,,1,4,3,3,3,,2,4,3,3,,3
masters degree,55,no,block of flats,,5,1,4,5,2,4,3,3,2,3,1,3,4,,5,3,1,few hours a day,5,4,5,2,,4,,3,former smoker,,4,1,4,3,5,,3,4,4,4,,3
secondary school,57,yes,house/bungalow,,3,2,4,4,4,4,3,4,2,3,3,4,4,,4,4,2,few hours a day,5,2,3,2,,4,,4,former smoker,,2,3,3,3,4,,2,3,4,4,,4
secondary school,80,no,block of flats,,5,2,2,5,1,2,5,3,2,5,3,3,5,,5,3,2,few hours a day,2,4,5,1,,3,,4,tried smoking,,4,1,3,5,4,,1,5,4,4,,2
college/bachelor degree,98,yes,block of flats,,5,1,5,3,2,2,5,5,3,2,2,5,5,,4,4,2,most of the day,5,4,4,1,,4,,2,current smoker,,,3,3,4,4,,2,3,3,2,,1
secondary school,58,no,house/bungalow,,3,1,1,5,1,4,5,4,3,4,4,3,3,,4,3,5,few hours a day,5,1,3,1,,4,,4,tried smoking,,4,1,2,4,4,,3,4,5,5,,4
secondary school,85,no,house/bungalow,,4,3,5,4,2,4,5,3,3,4,3,3,4,,4,3,1,few hours a day,4,1,3,1,,3,,3,tried smoking,,3,3,3,3,3,,4,4,4,4,,2
secondary school,120,no,house/bungalow,,5,4,5,4,2,4,2,3,2,4,4,3,4,,5,4,1,few hours a day,5,2,2,1,,3,,3,never smoked,,5,1,2,5,3,,3,4,5,5,,4
primary school,62,yes,house/bungalow,,3,3,1,5,5,1,4,3,5,4,1,2,4,,5,2,1,few hours a day,5,4,4,1,,1,,1,tried smoking,,2,2,4,2,1,,5,1,5,5,,3
secondary school,63,no,house/bungalow,,4,2,1,4,2,5,4,4,3,3,2,2,5,,5,4,1,less than an hour a day,3,1,3,1,,3,,3,former smoker,,4,2,4,2,,,2,3,2,2,,2
secondary school,57,no,house/bungalow,,3,2,3,4,3,4,5,3,2,3,4,2,3,,4,4,1,few hours a day,4,1,5,1,,3,,4,tried smoking,,3,4,3,3,2,,2,5,4,5,,4
college/bachelor degree,90,no,block of flats,,3,1,5,2,2,1,5,5,3,3,3,5,5,,5,4,1,few hours a day,5,5,1,1,,5,,3,former smoker,,1,1,1,5,2,,4,5,1,1,,3
secondary school,83,yes,house/bungalow,,3,2,3,4,3,3,3,5,3,4,3,3,2,,3,1,4,few hours a day,5,3,3,3,,4,,3,former smoker,,2,2,3,2,1,,4,2,3,2,,2
secondary school,51,no,house/bungalow,,4,3,5,5,4,4,3,5,2,3,3,3,4,,4,2,1,less than an hour a day,5,2,5,2,,3,,4,tried smoking,,5,1,2,5,5,,2,2,5,5,,4
college/bachelor degree,52,no,block of flats,,4,2,5,5,3,4,5,4,3,4,4,2,5,,4,2,1,few hours a day,5,3,3,1,,3,,4,tried smoking,,3,2,3,4,5,,1,5,5,5,,5
secondary school,65,no,block of flats,,5,2,5,5,5,4,3,5,3,5,3,3,5,,4,2,2,most of the day,2,3,,3,,5,,3,tried smoking,,1,5,5,1,1,,5,4,5,4,,3
college/bachelor degree,92,no,house/bungalow,,4,2,1,4,4,4,5,4,4,4,4,2,2,,1,4,3,few hours a day,4,4,4,2,,4,,2,never smoked,,1,4,5,1,1,,4,3,2,5,,1
secondary school,58,no,house/bungalow,,3,3,1,5,3,3,5,5,1,3,4,3,5,,5,2,1,less than an hour a day,5,2,4,1,,1,,5,tried smoking,,5,2,2,5,5,,1,4,5,5,,5
masters degree,76,no,block of flats,,4,2,1,3,3,4,5,3,2,3,4,3,4,,4,4,2,few hours a day,3,4,4,4,,2,,3,never smoked,,5,1,2,2,4,,1,3,3,3,,2
secondary school,53,yes,block of flats,,2,3,1,2,1,4,4,1,5,3,1,3,4,,4,2,1,few hours a day,5,1,1,3,,3,,1,current smoker,,2,3,4,2,2,,3,3,4,4,,4
college/bachelor degree,64,yes,house/bungalow,,4,2,1,5,2,4,3,5,2,3,3,2,5,,5,4,1,few hours a day,5,2,5,1,,4,,4,current smoker,,1,2,2,3,2,,2,1,4,5,,3
primary school,63,no,house/bungalow,,4,3,4,4,5,4,3,5,3,3,4,1,2,,4,5,1,few hours a day,5,5,3,2,,4,,4,never smoked,,5,1,3,5,4,,2,1,5,5,,1
secondary school,68,no,block of flats,,3,3,5,5,5,3,2,5,1,5,4,5,3,,5,2,4,few hours a day,2,5,5,2,,1,,3,never smoked,,3,1,2,1,1,,4,1,5,5,,1
secondary school,68,yes,block of flats,,4,3,4,4,4,3,3,3,2,3,4,4,5,,4,4,2,few hours a day,5,3,4,2,,4,,4,tried smoking,,3,1,3,5,3,,5,4,5,5,,5
secondary school,50,yes,house/bungalow,,3,2,2,5,2,4,5,2,3,2,3,2,5,,4,2,3,few hours a day,5,3,3,5,,3,,3,never smoked,,2,1,3,4,4,,3,5,3,3,,2
college/bachelor degree,78,no,house/bungalow,,3,2,2,4,4,3,3,3,,3,4,2,2,,2,2,5,few hours a day,4,4,2,2,,3,,2,tried smoking,,3,3,3,4,1,,3,4,4,2,,1
college/bachelor degree,57,yes,block of flats,,5,5,5,5,3,5,3,5,3,4,4,5,5,,5,5,3,few hours a day,5,3,3,2,,1,,4,former smoker,,5,5,5,5,5,,5,4,5,4,,3
primary school,75,no,house/bungalow,,2,4,1,5,5,3,5,5,4,4,3,2,5,,1,3,2,few hours a day,4,3,1,1,,5,,4,tried smoking,,1,1,2,2,3,,4,4,2,2,,1
secondary school,55,no,house/bungalow,,2,3,1,2,4,4,4,2,3,3,4,3,2,,4,3,2,few hours a day,2,4,4,1,,2,,3,current smoker,,4,2,4,3,4,,5,4,3,4,,1
secondary school,75,no,house/bungalow,,4,3,5,3,5,5,5,4,3,3,4,4,5,,5,5,2,few hours a day,5,5,5,2,,3,,5,never smoked,,5,4,4,5,2,,5,4,5,5,,3
secondary school,68,no,block of flats,,2,3,1,5,4,5,3,4,2,3,4,1,5,,3,4,1,few hours a day,5,3,2,1,,5,,5,tried smoking,,2,2,3,1,2,,2,3,3,4,,3
secondary school,60,yes,house/bungalow,,3,2,2,3,2,3,5,3,3,3,3,2,1,,1,2,4,less than an hour a day,5,2,4,4,,5,,3,former smoker,,2,2,1,4,3,,3,3,5,3,,3
secondary school,65,no,house/bungalow,,5,3,5,5,1,3,5,3,3,2,4,3,1,,3,3,2,few hours a day,5,4,3,1,,4,,4,tried smoking,,4,1,2,5,2,,5,5,3,3,,1
currently a primary school pupil,48,yes,house/bungalow,,3,3,3,3,3,3,3,3,3,3,3,3,3,,4,2,5,less than an hour a day,5,4,3,5,,3,,3,never smoked,,3,1,3,2,3,,5,4,1,2,,3
secondary school,65,no,block of flats,,3,3,5,4,3,4,3,4,3,2,5,4,5,,5,4,1,few hours a day,5,2,5,1,,4,,3,former smoker,,4,2,4,4,3,,3,3,5,5,,1
secondary school,88,no,house/bungalow,,3,3,3,4,3,3,5,5,4,5,4,4,5,,4,2,1,few hours a day,5,5,5,3,,3,,4,tried smoking,,2,1,2,3,2,,3,4,5,5,,2
college/bachelor degree,55,yes,block of flats,,5,3,3,5,4,4,2,4,4,4,4,5,4,,4,2,2,few hours a day,4,,4,2,,2,,4,never smoked,,4,1,3,3,5,,2,5,5,3,,3
primary school,50,no,block of flats,,5,4,3,3,2,1,3,3,1,5,4,3,4,,3,5,1,few hours a day,4,2,4,2,,4,,3,tried smoking,,3,2,4,2,1,,2,2,5,5,,4
secondary school,68,no,house/bungalow,,5,3,5,2,4,4,2,4,2,5,3,4,3,,3,1,5,few hours a day,4,4,3,4,,2,,3,never smoked,,3,5,5,2,1,,2,4,2,3,,2
primary school,65,no,block of flats,,4,3,4,3,3,4,4,3,4,3,4,3,3,,3,3,2,few hours a day,5,3,4,1,,3,,4,never smoked,,3,2,2,4,2,,3,3,4,4,,3
secondary school,62,no,house/bungalow,,3,3,5,5,4,5,3,4,2,4,4,3,3,,4,5,5,less than an hour a day,5,3,4,5,,4,,4,tried smoking,,3,2,3,4,5,,3,2,4,4,,2
college/bachelor degree,58,yes,block of flats,,5,2,5,5,5,3,3,3,4,3,4,2,3,,3,3,1,few hours a day,5,1,4,3,,5,,2,never smoked,,3,1,3,3,2,,4,4,3,3,,1
secondary school,55,no,block of flats,,5,4,3,5,4,3,2,3,3,5,3,4,5,,4,4,1,few hours a day,2,5,4,2,,4,,4,tried smoking,,3,2,4,3,5,,3,4,5,4,,1
college/bachelor degree,84,yes,block of flats,,5,3,5,5,3,4,5,,2,3,3,,3,,5,5,,few hours a day,5,5,3,1,,5,,3,tried smoking,,3,1,2,3,2,,4,5,3,3,,3
primary school,60,no,block of flats,,4,3,1,5,4,4,3,5,2,4,3,4,5,,3,2,2,few hours a day,5,4,4,2,,4,,3,never smoked,,2,1,3,4,4,,2,5,4,5,,4
secondary school,52,yes,block of flats,,,2,2,4,5,3,3,3,3,3,3,3,3,,5,3,1,few hours a day,4,3,3,1,,1,,3,tried smoking,,,2,4,4,3,,4,1,4,4,,4
secondary school,92,yes,house/bungalow,,4,3,1,3,5,3,4,5,3,1,3,3,5,,3,3,2,few hours a day,5,2,3,4,,3,,4,former smoker,,2,1,3,3,5,,3,1,2,2,,1
secondary school,60,no,house/bungalow,,4,3,3,4,3,3,2,4,3,2,4,3,5,,3,3,5,few hours a day,3,2,5,3,,3,,5,tried smoking,,5,1,3,3,2,,1,1,5,5,,5
secondary school,65,yes,block of flats,,4,5,3,4,2,4,3,5,3,4,5,3,5,,3,5,3,few hours a day,5,3,3,3,,3,,4,never smoked,,3,2,3,3,3,,3,2,5,5,,1
masters degree,50,no,block of flats,,4,3,5,5,3,4,2,4,2,3,4,3,4,,5,5,1,few hours a day,5,4,5,2,,2,,2,never smoked,,4,1,2,2,2,,1,5,4,3,,4
primary school,73,no,block of flats,,4,3,3,5,4,2,4,4,4,4,2,4,3,,2,2,3,few hours a day,5,5,4,2,,2,,4,tried smoking,,2,2,3,4,4,,4,4,3,3,,1
secondary school,60,no,block of flats,,5,4,1,1,2,4,5,2,2,3,4,3,4,,3,3,5,few hours a day,4,4,4,2,,3,,4,never smoked,,1,2,3,3,3,,4,4,5,3,,1
secondary school,76,no,house/bungalow,,5,1,1,5,4,5,5,1,1,5,1,3,3,,1,1,1,few hours a day,5,3,5,4,,3,,5,tried smoking,,1,3,3,5,5,,2,2,5,5,,1
secondary school,48,no,house/bungalow,,3,2,1,4,4,5,5,4,1,3,3,4,4,,3,1,1,few hours a day,5,2,5,1,,4,,5,never smoked,,1,2,4,,2,,3,3,4,4,,5
primary school,50,no,block of flats,,5,4,3,4,2,2,3,4,1,5,4,4,4,,3,5,1,few hours a day,3,2,4,2,,4,,4,tried smoking,,2,3,5,2,1,,1,2,5,5,,4
primary school,53,no,house/bungalow,,2,3,5,5,4,4,5,5,2,4,3,3,3,,4,4,2,few hours a day,4,1,3,1,,4,,3,tried smoking,,2,3,5,1,3,,4,2,3,3,,3
primary school,63,no,house/bungalow,,3,2,1,5,5,5,5,5,1,2,2,5,5,,3,1,1,most of the day,5,5,3,3,,5,,4,former smoker,,1,1,1,1,5,,4,5,1,1,,5
secondary school,68,yes,block of flats,,4,3,1,5,3,5,5,4,2,5,4,2,2,,3,4,3,most of the day,5,3,2,1,,2,,3,tried smoking,,4,2,2,3,4,,5,2,4,4,,4
masters degree,56,no,block of flats,,4,2,4,5,2,4,2,2,3,3,4,3,4,,4,2,3,less than an hour a day,4,3,5,5,,3,,4,tried smoking,,5,2,2,3,1,,1,5,5,5,,3
college/bachelor degree,68,no,house/bungalow,,4,3,5,1,2,3,2,3,3,3,4,3,3,,3,2,1,few hours a day,4,2,4,4,,1,,3,tried smoking,,3,1,1,2,2,,1,2,2,5,,1
secondary school,60,yes,block of flats,,4,2,4,5,3,4,3,5,2,3,3,1,4,,5,4,2,less than an hour a day,4,1,4,3,,2,,4,tried smoking,,2,1,1,4,2,,5,3,1,2,,2
primary school,70,yes,block of flats,,3,1,1,4,4,3,5,2,3,2,3,3,5,,1,4,1,few hours a day,5,4,3,1,,4,,1,current smoker,,2,1,1,1,5,,4,4,1,2,,1
primary school,65,no,block of flats,,3,1,1,1,5,4,5,5,1,5,3,3,3,,4,2,1,most of the day,4,5,3,1,,5,,5,tried smoking,,1,1,2,3,2,,4,3,3,3,,4
secondary school,75,no,block of flats,,4,3,4,2,3,5,2,4,3,3,3,4,5,,2,4,4,few hours a day,5,4,5,5,,2,,2,never smoked,,3,5,5,3,1,,3,1,5,5,,4
primary school,65,no,block of flats,,4,5,1,5,5,4,5,2,3,5,4,3,5,,4,3,1,few hours a day,5,,5,1,,5,,5,never smoked,,2,1,2,5,3,,2,5,5,5,,3
college/bachelor degree,68,no,house/bungalow,,3,1,3,4,4,3,5,3,3,3,3,3,3,,1,1,1,most of the day,5,5,1,1,,4,,3,tried smoking,,1,1,1,4,2,,5,3,5,2,,2
primary school,63,no,house/bungalow,,5,4,1,5,2,3,3,4,3,3,4,4,3,,5,4,5,few hours a day,5,3,5,4,,5,,3,tried smoking,,3,3,5,3,1,,2,4,5,5,,2
secondary school,76,no,block of flats,,4,4,4,4,4,4,4,4,4,4,3,3,4,,3,2,5,few hours a day,5,3,5,3,,4,,4,tried smoking,,2,2,2,2,1,,3,5,2,3,,1
secondary school,60,no,block of flats,,3,3,5,5,5,4,3,5,3,3,4,4,4,,5,4,2,few hours a day,5,2,2,2,,4,,3,former smoker,,2,3,3,3,4,,2,4,2,2,,2
secondary school,59,no,block of flats,,5,3,1,5,2,5,4,3,3,4,5,4,4,,4,3,2,few hours a day,5,3,5,3,,5,,4,former smoker,,2,4,4,3,3,,3,4,5,5,,3
secondary school,80,no,block of flats,,4,3,5,1,4,2,4,3,3,4,5,3,5,,4,3,1,few hours a day,5,5,3,1,,4,,3,former smoker,,3,1,1,2,5,,3,4,5,5,,1
secondary school,74,no,house/bungalow,,4,3,1,4,2,3,3,5,3,4,3,3,3,,4,4,2,few hours a day,4,4,3,1,,4,,4,tried smoking,,3,3,4,3,4,,5,2,4,4,,2
secondary school,96,yes,block of flats,,5,4,4,5,2,5,4,3,3,2,4,,5,,3,1,3,few hours a day,3,3,3,2,,1,,3,never smoked,,4,2,2,3,5,,4,2,5,5,,3
college/bachelor degree,68,no,house/bungalow,,4,3,4,5,2,4,2,4,2,4,4,3,4,,3,4,2,less than an hour a day,4,4,4,2,,2,,3,current smoker,,2,3,2,5,3,,3,2,2,3,,3
secondary school,72,no,block of flats,,5,2,4,4,1,4,5,5,2,2,3,4,5,,5,1,1,few hours a day,5,1,3,1,,3,,3,current smoker,,3,3,3,4,4,,3,2,5,5,,3
college/bachelor degree,62,no,block of flats,,3,2,5,2,4,5,5,5,3,4,4,4,4,,3,1,1,few hours a day,4,3,3,1,,4,,5,never smoked,,3,2,1,4,5,,1,2,3,5,,5
college/bachelor degree,58,no,house/bungalow,,5,5,5,5,4,2,2,5,2,5,3,1,5,,5,1,2,less than an hour a day,5,5,5,2,,1,,4,tried smoking,,1,1,5,3,3,,3,4,5,5,,5
college/bachelor degree,50,no,block of flats,,4,5,5,5,1,2,5,5,2,4,4,2,4,,5,3,2,few hours a day,5,3,2,1,,1,,4,never smoked,,4,4,4,2,2,,4,5,3,3,,2
college/bachelor degree,50,no,block of flats,,4,5,5,5,1,2,5,5,1,4,4,2,4,,5,4,1,few hours a day,5,2,2,1,,1,,4,never smoked,,4,5,4,1,2,,4,4,2,2,,2
college/bachelor degree,75,no,block of flats,,5,3,5,1,4,4,5,4,3,5,4,5,5,,3,4,1,few hours a day,4,4,2,1,,5,,4,tried smoking,,1,1,3,4,3,,1,4,1,1,,1
college/bachelor degree,70,no,house/bungalow,,4,1,5,4,3,4,3,2,4,4,3,4,4,,,5,4,few hours a day,4,2,5,1,,3,,1,never smoked,,1,4,4,2,1,,1,5,2,2,,3
college/bachelor degree,85,no,block of flats,,5,5,5,2,4,3,4,3,4,5,5,5,3,,4,2,1,most of the day,5,5,1,1,,4,,3,tried smoking,,1,1,2,2,3,,5,5,3,3,,1
secondary school,67,no,block of flats,,3,3,3,5,5,4,5,5,3,5,4,3,5,,4,3,1,few hours a day,5,5,4,1,,3,,5,never smoked,,1,1,4,3,1,,5,4,3,3,,5
primary school,55,no,house/bungalow,,,4,1,5,5,5,3,5,2,3,4,3,3,,5,5,2,few hours a day,5,4,,3,,4,,3,current smoker,,5,3,3,5,3,,5,5,5,5,,2
primary school,78,no,house/bungalow,,4,2,3,4,4,4,4,4,3,4,3,3,2,,2,3,2,less than an hour a day,3,4,5,3,,2,,4,tried smoking,,1,1,1,5,3,,3,5,5,5,,5
secondary school,58,no,house/bungalow,,4,4,5,2,4,4,2,4,5,3,3,2,3,,5,4,4,few hours a day,5,2,5,3,,5,,5,never smoked,,4,2,4,3,4,,1,4,5,5,,2
secondary school,53,no,house/bungalow,,4,3,5,4,1,4,2,1,3,4,3,2,5,,3,2,5,few hours a day,5,3,5,3,,2,,3,never smoked,,5,5,5,5,2,,3,2,5,5,,1
secondary school,56,no,block of flats,,5,2,4,2,1,3,5,5,4,5,2,3,4,,4,2,1,most of the day,2,5,5,1,,3,,3,tried smoking,,2,2,2,2,1,,5,3,5,3,,1
college/bachelor degree,72,yes,block of flats,,4,2,4,2,5,4,5,5,1,4,3,4,5,,4,5,1,most of the day,5,2,4,1,,3,,1,never smoked,,1,1,1,2,2,,5,4,4,4,,1
secondary school,62,no,block of flats,,3,3,5,5,4,5,5,5,1,2,4,3,4,,3,2,5,few hours a day,5,1,4,1,,5,,4,tried smoking,,2,1,1,5,3,,2,4,3,5,,4
secondary school,60,no,block of flats,,5,2,4,2,4,3,2,5,4,1,3,2,5,,3,2,5,few hours a day,3,2,3,2,,1,,3,tried smoking,,3,1,1,4,5,,2,2,5,5,,5
secondary school,56,no,block of flats,,5,2,5,5,1,2,5,5,1,5,4,5,5,,3,1,3,few hours a day,4,1,3,,,2,,5,former smoker,,2,1,1,,5,,1,3,5,5,,1
secondary school,70,yes,house/bungalow,,4,2,1,2,4,3,5,5,2,5,3,4,5,,5,4,5,few hours a day,5,4,4,2,,3,,3,never smoked,,3,1,4,2,1,,1,5,4,4,,1
secondary school,53,no,block of flats,,3,2,1,5,5,5,5,3,3,2,4,1,4,,3,2,1,few hours a day,5,1,5,2,,2,,4,tried smoking,,3,1,2,5,4,,2,4,5,5,,5
masters degree,67,no,house/bungalow,,4,3,5,3,3,4,5,3,4,3,4,5,4,,3,3,2,few hours a day,4,5,4,1,,3,,3,tried smoking,,4,4,4,5,3,,4,4,5,5,,2
secondary school,58,no,block of flats,,5,3,3,5,4,1,3,3,1,4,3,2,4,,4,2,5,most of the day,5,3,3,1,,3,,4,tried smoking,,5,1,2,4,4,,2,3,4,5,,2
secondary school,58,no,block of flats,,5,2,5,5,2,4,5,3,4,2,3,1,5,,4,2,1,few hours a day,5,2,1,1,,5,,5,tried smoking,,2,4,4,2,1,,4,5,5,5,,3
secondary school,49,yes,block of flats,,4,2,1,5,3,4,5,5,2,4,4,4,5,,4,2,1,few hours a day,5,4,4,1,,4,,5,current smoker,,5,1,2,4,4,,2,2,5,5,,5
college/bachelor degree,90,no,block of flats,,4,1,1,4,4,3,3,3,1,2,3,3,4,,3,4,1,most of the day,5,5,2,1,,4,,4,current smoker,,1,3,3,2,3,,2,5,4,4,,3
secondary school,58,no,house/bungalow,,4,2,1,4,4,4,4,4,3,3,3,3,5,,5,2,3,few hours a day,5,1,3,1,,3,,3,former smoker,,2,1,2,3,4,,1,1,4,4,,3
college/bachelor degree,77,no,block of flats,,4,3,5,3,3,4,5,3,4,3,2,2,4,,4,3,1,few hours a day,5,5,5,1,,4,,5,current smoker,,5,3,5,5,4,,5,3,5,5,,4
secondary school,55,yes,block of flats,,4,4,2,4,2,3,4,1,3,2,3,3,4,,4,3,3,few hours a day,4,3,2,1,,1,,3,tried smoking,,2,1,2,3,5,,5,3,2,2,,2
masters degree,64,no,block of flats,,4,3,3,5,2,5,5,4,5,4,3,5,5,,5,4,3,few hours a day,5,3,3,1,,5,,5,tried smoking,,5,1,2,5,5,,1,5,5,5,,3
masters degree,60,no,block of flats,,4,3,5,5,4,4,4,3,4,2,3,3,5,,5,2,1,few hours a day,3,4,4,3,,2,,2,former smoker,,5,3,4,3,4,,2,5,3,5,,2
secondary school,60,yes,house/bungalow,,5,2,5,5,1,4,3,3,3,3,5,2,3,,5,4,3,few hours a day,4,1,4,3,,4,,3,tried smoking,,5,2,3,3,2,,3,3,4,4,,1
secondary school,65,no,block of flats,,4,3,5,2,2,3,2,2,3,4,4,3,3,,5,3,4,few hours a day,5,3,4,1,,3,,3,never smoked,,3,3,3,1,2,,3,1,5,5,,1
masters degree,49,no,block of flats,,3,3,4,4,3,3,2,5,3,3,4,1,3,,3,2,1,few hours a day,5,1,5,1,,1,,3,never smoked,,2,2,3,3,3,,3,2,3,4,,2
masters degree,47,no,block of flats,,5,3,5,4,2,5,4,2,3,3,3,3,3,,2,2,1,less than an hour a day,5,2,3,2,,2,,3,tried smoking,,5,1,3,4,5,,2,5,5,5,,2
secondary school,75,no,block of flats,,5,3,1,3,3,4,2,2,4,3,3,2,3,,2,5,1,few hours a day,3,4,3,2,,3,,1,former smoker,,1,1,1,1,2,,5,4,1,2,,2
