Education,Weight,Reliability,Questionnaires or polls,Elections,Compassion to animals,Changing the past,Appearence and gestures,Self-criticism,Waiting,Thinking ahead,Parents' advice,Daily events,God,Lifestruggles,Gettingup,Judgment calls,Foreign languages,Chemistry,Pets,Internetusage,Fun with friends,PC,"Countryside, outdoors",Gardening,Health,Alcohol,Smoking,Latino,Opera,Classical music,Dance,"Hiphop, Rap",Sci-fi,Thriller,Animated,Fantasy/Fairy tales,Ageing,Spendingongadgets,Age
secondary school,85,4,3,5,4,2,4,3,3,4,3,3,4,4,4,4,4,1,3,sometime of the day,4,1,3,1,3,social drinker,smoker,3,3,3,3,3,4,4,4,4,2,2,20
secondary school,120,5,4,5,4,2,4,3,2,4,4,3,5,4,4,4,5,1,5,sometime of the day,5,2,2,1,3,social drinker,never smoked,5,1,2,5,3,3,4,5,5,4,5,21
primary school,62,3,3,1,5,5,1,3,5,4,1,2,2,5,5,4,5,1,5,sometime of the day,5,4,4,1,1,never,smoker,2,2,4,2,1,5,1,5,5,3,2,16
secondary school,63,4,2,1,4,2,5,4,3,3,2,2,1,3,3,5,5,1,5,sometime of the day,3,1,3,1,3,never,smoker,4,2,4,2,,2,3,2,2,2,2,19
secondary school,57,3,2,3,4,3,4,3,2,3,4,2,5,2,3,3,4,1,5,sometime of the day,4,1,5,1,4,drink a lot,smoker,3,4,3,3,2,2,5,4,5,4,2,18
college/bachelor degree,90,3,1,5,2,2,1,5,3,3,3,5,1,1,5,5,5,1,4,sometime of the day,5,5,1,1,3,drink a lot,smoker,1,1,1,5,2,4,5,1,1,3,5,23
secondary school,83,3,2,3,4,3,3,5,3,4,3,3,1,2,4,2,3,4,3,sometime of the day,5,3,3,3,3,social drinker,smoker,2,2,3,2,1,4,2,3,2,2,4,19
secondary school,51,4,3,5,5,4,4,5,2,3,3,3,4,4,2,4,4,1,5,sometime of the day,5,2,5,2,4,drink a lot,smoker,5,1,2,5,5,2,2,5,5,4,2,19
college/bachelor degree,52,4,2,5,5,3,4,4,3,4,4,2,1,3,4,5,4,1,4,sometime of the day,5,3,3,1,4,social drinker,smoker,3,2,3,4,5,1,5,5,5,5,3,22
secondary school,65,5,2,5,5,5,4,5,3,5,3,3,5,5,2,5,4,2,2,most of the day,2,3,,3,3,social drinker,smoker,1,5,5,1,1,5,4,5,4,3,1,18
college/bachelor degree,92,4,2,1,4,4,4,4,4,4,4,2,4,1,1,2,1,3,3,sometime of the day,4,4,4,2,2,social drinker,never smoked,1,4,5,1,1,4,3,2,5,1,2,20
secondary school,58,3,3,1,5,3,3,5,1,3,4,3,5,5,3,5,5,1,1,sometime of the day,5,2,4,1,5,social drinker,smoker,5,2,2,5,5,1,4,5,5,5,2,19
masters degree,76,4,2,1,3,3,4,3,2,3,4,3,1,5,3,4,4,2,5,sometime of the day,3,4,4,4,3,social drinker,never smoked,5,1,2,2,4,1,3,3,3,2,2,25
secondary school,53,2,3,1,2,1,4,1,5,3,1,3,1,3,4,4,4,1,1,sometime of the day,5,1,1,3,1,social drinker,smoker,2,3,4,2,2,3,3,4,4,4,1,18
college/bachelor degree,64,4,2,1,5,2,4,5,2,3,3,2,2,2,2,5,5,1,5,sometime of the day,5,2,5,1,4,social drinker,smoker,1,2,2,3,2,2,1,4,5,3,3,20
primary school,63,4,3,4,4,5,4,5,3,3,4,1,5,5,5,2,4,1,5,sometime of the day,5,5,3,2,4,social drinker,never smoked,5,1,3,5,4,2,1,5,5,1,2,15
secondary school,68,3,3,5,5,5,3,5,1,5,4,5,3,1,4,3,5,4,1,sometime of the day,2,5,5,2,3,never,never smoked,3,1,2,1,1,4,1,5,5,1,1,19
secondary school,68,4,3,4,4,4,3,3,2,3,4,4,3,4,2,5,4,2,3,sometime of the day,5,3,4,2,4,never,smoker,3,1,3,5,3,5,4,5,5,5,4,19
secondary school,50,3,2,2,5,2,4,2,3,2,3,2,3,2,4,5,4,3,1,sometime of the day,5,3,3,5,3,never,never smoked,2,1,3,4,4,3,5,3,3,2,4,16
college/bachelor degree,78,3,2,2,4,4,3,3,,3,4,2,4,2,3,2,2,5,5,sometime of the day,4,4,2,2,2,social drinker,smoker,3,3,3,4,1,3,4,4,2,1,3,19
college/bachelor degree,57,5,5,5,5,3,5,5,3,4,4,5,3,3,1,5,5,3,2,sometime of the day,5,3,3,2,4,social drinker,smoker,5,5,5,5,5,5,4,5,4,3,5,18
primary school,75,2,4,1,5,5,3,5,4,4,3,2,5,2,5,5,1,2,3,sometime of the day,4,3,1,1,4,social drinker,smoker,1,1,2,2,3,4,4,2,2,1,2,15
secondary school,55,2,3,1,2,4,4,2,3,3,4,3,5,2,2,2,4,2,3,sometime of the day,2,4,4,1,3,social drinker,smoker,4,2,4,3,4,5,4,3,4,1,2,20
secondary school,75,4,3,5,3,5,5,4,3,3,4,4,5,3,5,5,5,2,5,sometime of the day,5,5,5,2,5,never,never smoked,5,4,4,5,2,5,4,5,5,3,3,20
secondary school,68,2,3,1,5,4,5,4,2,3,4,1,5,2,5,5,3,1,1,sometime of the day,5,3,2,1,5,social drinker,smoker,2,2,3,1,2,2,3,3,4,3,4,20
secondary school,60,3,2,2,3,2,3,3,3,3,3,2,5,3,2,1,1,4,5,sometime of the day,5,2,4,4,3,social drinker,smoker,2,2,1,4,3,3,3,5,3,3,3,20
secondary school,65,5,3,5,5,1,3,3,3,2,4,3,1,1,3,1,3,2,5,sometime of the day,5,4,3,1,4,social drinker,smoker,4,1,2,5,2,5,5,3,3,1,4,19
currently a primary school pupil,48,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,sometime of the day,5,4,3,5,3,social drinker,never smoked,3,1,3,2,3,5,4,1,2,3,3,16
secondary school,65,3,3,5,4,3,4,4,3,2,5,4,5,4,4,5,5,1,3,sometime of the day,5,2,5,1,3,social drinker,smoker,4,2,4,4,3,3,3,5,5,1,2,18
secondary school,88,3,3,3,4,3,3,5,4,5,4,4,5,2,3,5,4,1,3,sometime of the day,5,5,5,3,4,social drinker,smoker,2,1,2,3,2,3,4,5,5,2,3,20
college/bachelor degree,55,5,3,3,5,4,4,4,4,4,4,5,5,3,3,4,4,2,5,sometime of the day,4,,4,2,4,never,never smoked,4,1,3,3,5,2,5,5,3,3,3,16
primary school,50,5,4,3,3,2,1,3,1,5,4,3,4,1,1,4,3,1,5,sometime of the day,4,2,4,2,3,social drinker,smoker,3,2,4,2,1,2,2,5,5,4,1,18
secondary school,68,5,3,5,2,4,4,4,2,5,3,4,5,1,4,3,3,5,5,sometime of the day,4,4,3,4,3,social drinker,never smoked,3,5,5,2,1,2,4,2,3,2,3,20
primary school,65,4,3,4,3,3,4,3,4,3,4,3,5,3,4,3,3,2,3,sometime of the day,5,3,4,1,4,social drinker,never smoked,3,2,2,4,2,3,3,4,4,3,3,18
secondary school,62,3,3,5,5,4,5,4,2,4,4,3,3,2,2,3,4,5,5,sometime of the day,5,3,4,5,4,social drinker,smoker,3,2,3,4,5,3,2,4,4,2,4,19
college/bachelor degree,58,5,2,5,5,5,3,3,4,3,4,2,4,5,5,3,3,1,4,sometime of the day,5,1,4,3,2,social drinker,never smoked,3,1,3,3,2,4,4,3,3,1,2,19
secondary school,55,5,4,3,5,4,3,3,3,5,3,4,4,4,3,5,4,1,5,sometime of the day,2,5,4,2,4,social drinker,smoker,3,2,4,3,5,3,4,5,4,1,3,20
college/bachelor degree,84,5,3,5,5,3,4,,2,3,3,,3,1,3,3,5,,1,sometime of the day,5,5,3,1,3,social drinker,smoker,3,1,2,3,2,4,5,3,3,3,4,18
primary school,60,4,3,1,5,4,4,5,2,4,3,4,5,5,4,5,3,2,4,sometime of the day,5,4,4,2,3,drink a lot,never smoked,2,1,3,4,4,2,5,4,5,4,3,17
secondary school,52,,2,2,4,5,3,3,3,3,3,3,3,3,,3,5,1,5,sometime of the day,4,3,3,1,3,social drinker,smoker,,2,4,4,3,4,1,4,4,4,1,22
secondary school,92,4,3,1,3,5,3,5,3,1,3,3,5,1,2,5,3,2,5,sometime of the day,5,2,3,4,4,social drinker,smoker,2,1,3,3,5,3,1,2,2,1,4,17
secondary school,60,4,3,3,4,3,3,4,3,2,4,3,5,5,3,5,3,5,5,sometime of the day,3,2,5,3,5,social drinker,smoker,5,1,3,3,2,1,1,5,5,5,1,22
secondary school,65,4,5,3,4,2,4,5,3,4,5,3,5,4,4,5,3,3,5,sometime of the day,5,3,3,3,4,never,never smoked,3,2,3,3,3,3,2,5,5,1,2,16
masters degree,50,4,3,5,5,3,4,4,2,3,4,3,2,5,4,4,5,1,2,sometime of the day,5,4,5,2,2,never,never smoked,4,1,2,2,2,1,5,4,3,4,3,24
primary school,73,4,3,3,5,4,2,4,4,4,2,4,5,2,2,3,2,3,3,sometime of the day,5,5,4,2,4,social drinker,smoker,2,2,3,4,4,4,4,3,3,1,4,17
secondary school,60,5,4,1,1,2,4,2,2,3,4,3,4,2,5,4,3,5,4,sometime of the day,4,4,4,2,4,never,never smoked,1,2,3,3,3,4,4,5,3,1,2,17
secondary school,76,5,1,1,5,4,5,1,1,5,1,3,5,1,5,3,1,1,5,sometime of the day,5,3,5,4,5,drink a lot,smoker,1,3,3,5,5,2,2,5,5,1,4,17
secondary school,48,3,2,1,4,4,5,4,1,3,3,4,5,5,5,4,3,1,1,sometime of the day,5,2,5,1,5,social drinker,never smoked,1,2,4,,2,3,3,4,4,5,3,15
primary school,50,5,4,3,4,2,2,4,1,5,4,4,4,1,1,4,3,1,5,sometime of the day,3,2,4,2,4,social drinker,smoker,2,3,5,2,1,1,2,5,5,4,1,18
primary school,53,2,3,5,5,4,4,5,2,4,3,3,5,5,3,3,4,2,1,sometime of the day,4,1,3,1,3,social drinker,smoker,2,3,5,1,3,4,2,3,3,3,1,18
primary school,63,3,2,1,5,5,5,5,1,2,2,5,1,1,5,5,3,1,2,most of the day,5,5,3,3,4,social drinker,smoker,1,1,1,1,5,4,5,1,1,5,5,16
secondary school,68,4,3,1,5,3,5,4,2,5,4,2,3,3,3,2,3,3,5,most of the day,5,3,2,1,3,social drinker,smoker,4,2,2,3,4,5,2,4,4,4,2,20
masters degree,56,4,2,4,5,2,4,2,3,3,4,3,1,5,5,4,4,3,5,sometime of the day,4,3,5,5,4,social drinker,smoker,5,2,2,3,1,1,5,5,5,3,2,29
college/bachelor degree,68,4,3,5,1,2,3,3,3,3,4,3,5,5,2,3,3,1,1,sometime of the day,4,2,4,4,3,social drinker,smoker,3,1,1,2,2,1,2,2,5,1,1,24
secondary school,60,4,2,4,5,3,4,5,2,3,3,1,2,4,3,4,5,2,4,sometime of the day,4,1,4,3,4,social drinker,smoker,2,1,1,4,2,5,3,1,2,2,2,18
primary school,70,3,1,1,4,4,3,2,3,2,3,3,4,3,5,5,1,1,5,sometime of the day,5,4,3,1,1,drink a lot,smoker,2,1,1,1,5,4,4,1,2,1,1,17
primary school,65,3,1,1,1,5,4,5,1,5,3,3,1,3,5,3,4,1,1,most of the day,4,5,3,1,5,drink a lot,smoker,1,1,2,3,2,4,3,3,3,4,5,18
secondary school,75,4,3,4,2,3,5,4,3,3,3,4,3,1,3,5,2,4,4,sometime of the day,5,4,5,5,2,never,never smoked,3,5,5,3,1,3,1,5,5,4,5,16
primary school,65,4,5,1,5,5,4,2,3,5,4,3,3,4,5,5,4,1,5,sometime of the day,5,,5,1,5,social drinker,never smoked,2,1,2,5,3,2,5,5,5,3,5,17
college/bachelor degree,68,3,1,3,4,4,3,3,3,3,3,3,3,2,5,3,1,1,3,most of the day,5,5,1,1,3,social drinker,smoker,1,1,1,4,2,5,3,5,2,2,4,20
primary school,63,5,4,1,5,2,3,4,3,3,4,4,5,4,4,3,5,5,5,sometime of the day,5,3,5,4,3,social drinker,smoker,3,3,5,3,1,2,4,5,5,2,4,16
secondary school,76,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,5,2,sometime of the day,5,3,5,3,4,social drinker,smoker,2,2,2,2,1,3,5,2,3,1,2,19
secondary school,60,3,3,5,5,5,4,5,3,3,4,4,5,4,5,4,5,2,3,sometime of the day,5,2,2,2,3,social drinker,smoker,2,3,3,3,4,2,4,2,2,2,2,18
secondary school,59,5,3,1,5,2,5,3,3,4,5,4,5,4,2,4,4,2,4,sometime of the day,5,3,5,3,4,social drinker,smoker,2,4,4,3,3,3,4,5,5,3,4,20
secondary school,80,4,3,5,1,4,2,3,3,4,5,3,4,2,5,5,4,1,1,sometime of the day,5,5,3,1,3,drink a lot,smoker,3,1,1,2,5,3,4,5,5,1,4,19
secondary school,74,4,3,1,4,2,3,5,3,4,3,3,2,1,4,3,4,2,3,sometime of the day,4,4,3,1,4,social drinker,smoker,3,3,4,3,4,5,2,4,4,2,3,18
secondary school,96,5,4,4,5,2,5,3,3,2,4,,2,3,2,5,3,3,5,sometime of the day,3,3,3,2,3,never,never smoked,4,2,2,3,5,4,2,5,5,3,3,21
college/bachelor degree,68,4,3,4,5,2,4,4,2,4,4,3,1,1,3,4,3,2,5,sometime of the day,4,4,4,2,3,social drinker,smoker,2,3,2,5,3,3,2,2,3,3,3,19
secondary school,72,5,2,4,4,1,4,5,2,2,3,4,1,3,4,5,5,1,5,sometime of the day,5,1,3,1,3,social drinker,smoker,3,3,3,4,4,3,2,5,5,3,4,20
college/bachelor degree,62,3,2,5,2,4,5,5,3,4,4,4,1,5,3,4,3,1,2,sometime of the day,4,3,3,1,5,social drinker,never smoked,3,2,1,4,5,1,2,3,5,5,3,23
college/bachelor degree,58,5,5,5,5,4,2,5,2,5,3,1,5,5,2,5,5,2,5,sometime of the day,5,5,5,2,4,social drinker,smoker,1,1,5,3,3,3,4,5,5,5,1,19
college/bachelor degree,50,4,5,5,5,1,2,5,2,4,4,2,,4,2,4,5,2,3,sometime of the day,5,3,2,1,4,social drinker,never smoked,4,4,4,2,2,4,5,3,3,2,5,19
college/bachelor degree,50,4,5,5,5,1,2,5,1,4,4,2,1,4,2,4,5,1,3,sometime of the day,5,2,2,1,4,social drinker,never smoked,4,5,4,1,2,4,4,2,2,2,4,19
college/bachelor degree,75,5,3,5,1,4,4,4,3,5,4,5,3,1,1,5,3,1,1,sometime of the day,4,4,2,1,4,social drinker,smoker,1,1,3,4,3,1,4,1,1,1,4,20
college/bachelor degree,70,4,1,5,4,3,4,2,4,4,3,4,5,2,2,4,,4,1,sometime of the day,4,2,5,1,1,social drinker,never smoked,1,4,4,2,1,1,5,2,2,3,2,24
college/bachelor degree,85,5,5,5,2,4,3,3,4,5,5,5,1,1,5,3,4,1,1,most of the day,5,5,1,1,3,social drinker,smoker,1,1,2,2,3,5,5,3,3,1,5,19
secondary school,67,3,3,3,5,5,4,5,3,5,4,3,5,1,5,5,4,1,3,sometime of the day,5,5,4,1,5,social drinker,never smoked,1,1,4,3,1,5,4,3,3,5,3,20
primary school,55,,4,1,5,5,5,5,2,3,4,3,1,5,5,3,5,2,5,sometime of the day,5,4,,3,3,drink a lot,smoker,5,3,3,5,3,5,5,5,5,2,3,18
primary school,78,4,2,3,4,4,4,4,3,4,3,3,3,2,3,2,2,2,5,sometime of the day,3,4,5,3,4,never,smoker,1,1,1,5,3,3,5,5,5,5,3,17
secondary school,58,4,4,5,2,4,4,4,5,3,3,2,2,4,3,3,5,4,5,sometime of the day,5,2,5,3,5,social drinker,never smoked,4,2,4,3,4,1,4,5,5,2,2,19
secondary school,53,4,3,5,4,1,4,1,3,4,3,2,5,2,3,5,3,5,3,sometime of the day,5,3,5,3,3,social drinker,never smoked,5,5,5,5,2,3,2,5,5,1,4,19
secondary school,56,5,2,4,2,1,3,5,4,5,2,3,1,2,1,4,4,1,1,most of the day,2,5,5,1,3,social drinker,smoker,2,2,2,2,1,5,3,5,3,1,2,20
college/bachelor degree,72,4,2,4,2,5,4,5,1,4,3,4,1,2,5,5,4,1,1,most of the day,5,2,4,1,1,drink a lot,never smoked,1,1,1,2,2,5,4,4,4,1,1,20
secondary school,62,3,3,5,5,4,5,5,1,2,4,3,3,5,3,4,3,5,5,sometime of the day,5,1,4,1,4,social drinker,smoker,2,1,1,5,3,2,4,3,5,4,5,21
secondary school,60,5,2,4,2,4,3,5,4,1,3,2,1,4,4,5,3,5,1,sometime of the day,3,2,3,2,3,social drinker,smoker,3,1,1,4,5,2,2,5,5,5,2,20
secondary school,56,5,2,5,5,1,2,5,1,5,4,5,1,5,5,5,3,3,5,sometime of the day,4,1,3,,5,social drinker,smoker,2,1,1,,5,1,3,5,5,1,1,20
secondary school,70,4,2,1,2,4,3,5,2,5,3,4,3,3,5,5,5,5,4,sometime of the day,5,4,4,2,3,social drinker,never smoked,3,1,4,2,1,1,5,4,4,1,3,17
secondary school,53,3,2,1,5,5,5,3,3,2,4,1,2,4,2,4,3,1,5,sometime of the day,5,1,5,2,4,drink a lot,smoker,3,1,2,5,4,2,4,5,5,5,1,20
masters degree,67,4,3,5,3,3,4,3,4,3,4,5,5,2,3,4,3,2,3,sometime of the day,4,5,4,1,3,social drinker,smoker,4,4,4,5,3,4,4,5,5,2,3,25
secondary school,58,5,3,3,5,4,1,3,1,4,3,2,5,4,5,4,4,5,4,most of the day,5,3,3,1,4,social drinker,smoker,5,1,2,4,4,2,3,4,5,2,3,20
secondary school,58,5,2,5,5,2,4,3,4,2,3,1,1,3,2,5,4,1,5,sometime of the day,5,2,1,1,5,drink a lot,smoker,2,4,4,2,1,4,5,5,5,3,3,21
secondary school,49,4,2,1,5,3,4,5,2,4,4,4,2,4,5,5,4,1,5,sometime of the day,5,4,4,1,5,social drinker,smoker,5,1,2,4,4,2,2,5,5,5,5,21
college/bachelor degree,90,4,1,1,4,4,3,3,1,2,3,3,3,2,3,4,3,1,1,most of the day,5,5,2,1,4,drink a lot,smoker,1,3,3,2,3,2,5,4,4,3,5,22
secondary school,58,4,2,1,4,4,4,4,3,3,3,3,5,5,1,5,5,3,1,sometime of the day,5,1,3,1,3,social drinker,smoker,2,1,2,3,4,1,1,4,4,3,4,19
college/bachelor degree,77,4,3,5,3,3,4,3,4,3,2,2,1,3,4,4,4,1,1,sometime of the day,5,5,5,1,5,drink a lot,smoker,5,3,5,5,4,5,3,5,5,4,5,25
secondary school,55,4,4,2,4,2,3,1,3,2,3,3,3,5,3,4,4,3,2,sometime of the day,4,3,2,1,3,drink a lot,smoker,2,1,2,3,5,5,3,2,2,2,2,19
masters degree,64,4,3,3,5,2,5,4,5,4,3,5,3,5,3,5,5,3,5,sometime of the day,5,3,3,1,5,social drinker,smoker,5,1,2,5,5,1,5,5,5,3,5,25
masters degree,60,4,3,5,5,4,4,3,4,2,3,3,5,5,5,5,5,1,5,sometime of the day,3,4,4,3,2,social drinker,smoker,5,3,4,3,4,2,5,3,5,2,2,25
secondary school,60,5,2,5,5,1,4,3,3,3,5,2,5,4,3,3,5,3,3,sometime of the day,4,1,4,3,3,social drinker,smoker,5,2,3,3,2,3,3,4,4,1,2,21
secondary school,65,4,3,5,2,2,3,2,3,4,4,3,5,2,4,3,5,4,2,sometime of the day,5,3,4,1,3,social drinker,never smoked,3,3,3,1,2,3,1,5,5,1,3,20
masters degree,49,3,3,4,4,3,3,5,3,3,4,1,5,5,3,3,3,1,2,sometime of the day,5,1,5,1,3,social drinker,never smoked,2,2,3,3,3,3,2,3,4,2,3,24
masters degree,47,5,3,5,4,2,5,2,3,3,3,3,4,5,4,3,2,1,1,sometime of the day,5,2,3,2,3,social drinker,smoker,5,1,3,4,5,2,5,5,5,2,1,30
secondary school,75,5,3,1,3,3,4,2,4,3,3,2,1,1,1,3,2,1,3,sometime of the day,3,4,3,2,1,never,smoker,1,1,1,1,2,5,4,1,2,2,3,21
masters degree,77,1,5,5,3,4,4,3,4,3,1,4,3,4,5,4,2,1,3,sometime of the day,5,5,3,1,5,social drinker,never smoked,2,1,2,3,1,1,4,3,4,5,5,27
college/bachelor degree,68,3,3,1,2,3,3,3,3,5,2,2,1,1,1,5,5,1,1,sometime of the day,5,5,4,1,3,social drinker,never smoked,1,1,1,3,3,5,4,2,3,1,4,21
primary school,50,4,3,3,3,1,3,4,2,5,4,3,2,3,5,3,4,2,1,sometime of the day,5,3,3,1,3,social drinker,never smoked,2,5,5,3,2,4,2,3,3,1,4,16
college/bachelor degree,75,3,4,5,3,3,5,4,4,3,4,4,5,5,4,5,4,1,5,most of the day,3,5,3,1,5,never,smoker,4,1,2,3,4,2,3,3,3,3,3,21
college/bachelor degree,60,4,4,5,3,2,4,4,2,3,5,4,5,3,3,4,5,2,1,sometime of the day,5,5,5,,3,social drinker,smoker,4,2,2,3,5,3,3,2,3,1,3,20
secondary school,65,4,3,4,5,2,5,5,2,5,2,4,5,2,4,5,4,2,5,sometime of the day,5,4,5,3,4,social drinker,smoker,2,5,5,2,2,4,5,3,2,1,4,22
secondary school,80,4,2,4,4,3,4,4,3,5,3,4,2,1,4,4,3,5,1,most of the day,4,4,3,1,2,social drinker,smoker,1,3,3,4,3,4,3,4,4,2,5,19
secondary school,90,4,2,2,5,1,3,5,4,1,4,2,1,3,5,4,3,1,1,sometime of the day,5,2,3,1,2,drink a lot,smoker,3,2,1,2,1,1,1,3,3,1,5,20
masters degree,95,5,3,5,5,5,3,5,3,2,4,3,5,4,5,5,1,1,5,most of the day,5,5,5,2,1,social drinker,smoker,1,3,5,5,1,1,4,5,5,1,4,25
secondary school,79,4,2,2,5,3,2,4,1,2,3,2,5,3,3,4,3,1,4,sometime of the day,4,4,3,2,1,social drinker,smoker,3,3,3,2,2,4,2,4,5,1,1,23
college/bachelor degree,57,3,1,3,1,3,4,5,4,5,3,3,5,3,2,1,5,1,5,sometime of the day,5,2,5,2,3,social drinker,smoker,1,3,5,4,3,5,1,5,5,3,3,20
secondary school,,4,3,5,3,2,4,2,3,3,4,4,5,4,5,3,5,2,3,sometime of the day,5,2,5,2,3,social drinker,smoker,3,3,3,3,4,1,1,4,5,2,4,20
secondary school,60,5,3,4,5,3,3,5,3,3,3,2,5,3,3,5,5,1,1,sometime of the day,4,5,5,1,4,social drinker,smoker,5,4,4,4,3,5,3,5,5,3,3,21
secondary school,44,4,4,5,5,4,4,4,3,4,3,3,2,4,3,4,5,2,5,sometime of the day,5,3,4,1,3,drink a lot,smoker,2,2,3,4,3,2,3,5,5,3,2,19
college/bachelor degree,58,5,3,3,5,4,5,5,1,5,4,5,5,5,5,5,4,1,1,sometime of the day,5,2,5,1,4,social drinker,smoker,5,5,5,3,1,2,4,3,5,4,1,21
currently a primary school pupil,50,3,3,1,5,5,3,2,3,3,2,3,5,2,5,5,3,1,3,sometime of the day,5,3,5,1,3,never,never smoked,2,1,1,5,4,3,3,2,2,1,5,16
secondary school,88,3,3,5,5,3,2,3,3,3,3,3,1,1,3,3,1,1,5,sometime of the day,5,5,2,1,2,social drinker,smoker,1,1,3,4,4,5,5,5,5,1,5,20
secondary school,60,4,4,1,5,3,5,3,4,3,4,3,5,5,5,4,5,1,3,sometime of the day,5,2,4,1,3,social drinker,smoker,5,2,3,3,4,2,3,5,5,2,3,18
secondary school,54,5,5,5,5,5,5,1,1,5,3,5,1,5,5,5,3,1,5,sometime of the day,4,1,5,1,3,never,smoker,1,1,1,3,1,1,1,3,1,1,1,21
secondary school,68,5,2,4,4,2,3,3,2,3,3,2,3,2,4,4,2,2,4,sometime of the day,5,2,4,1,4,social drinker,never smoked,2,2,2,4,2,3,3,3,3,3,2,21
college/bachelor degree,56,4,4,4,2,1,5,2,4,2,3,3,1,3,3,5,5,1,3,sometime of the day,5,4,2,1,2,social drinker,smoker,2,2,5,4,3,3,3,4,4,1,4,18
secondary school,69,5,1,5,4,3,5,5,1,5,3,2,4,5,5,5,5,5,1,sometime of the day,5,1,3,1,5,drink a lot,smoker,3,1,1,3,4,1,5,5,5,5,1,19
secondary school,54,4,2,4,3,4,1,5,2,4,2,2,3,4,5,4,2,3,3,sometime of the day,5,2,4,2,2,social drinker,smoker,3,1,4,5,3,2,3,4,3,1,2,20
secondary school,60,4,1,1,5,1,3,2,4,4,3,1,2,3,5,5,2,1,5,most of the day,5,5,4,1,3,drink a lot,smoker,1,2,2,1,1,3,5,1,1,5,3,18
primary school,60,4,3,2,4,4,3,2,2,4,3,4,5,5,1,4,5,1,5,sometime of the day,3,1,3,3,3,social drinker,smoker,4,2,2,4,1,3,5,3,3,2,1,18
secondary school,53,3,3,3,3,4,4,3,1,4,3,3,5,3,3,3,2,3,2,sometime of the day,4,2,2,1,3,never,smoker,3,5,5,5,3,2,2,1,4,1,1,23
secondary school,52,3,1,5,3,3,4,5,1,5,4,4,3,3,5,5,3,1,2,sometime of the day,5,3,3,1,3,social drinker,smoker,1,3,3,1,1,2,3,5,5,1,5,20
secondary school,55,5,4,3,5,5,3,5,2,4,3,3,4,4,1,5,3,2,5,sometime of the day,5,5,4,3,4,social drinker,never smoked,3,3,5,2,2,5,2,5,5,1,2,18
college/bachelor degree,76,5,,2,5,1,5,2,3,,4,3,3,5,,3,4,1,5,sometime of the day,5,3,5,4,4,social drinker,smoker,5,3,1,4,4,5,5,5,5,2,3,28
masters degree,67,4,3,5,5,3,3,3,3,3,3,3,5,4,4,5,5,4,5,sometime of the day,5,4,5,3,4,never,smoker,3,3,3,3,1,1,5,5,4,5,2,24
secondary school,60,3,2,4,5,5,5,5,4,3,3,3,1,3,5,4,1,1,5,sometime of the day,5,4,5,2,3,social drinker,smoker,2,1,2,5,5,2,2,5,5,1,1,19
secondary school,57,5,3,5,5,5,5,5,3,3,4,3,5,5,3,5,5,3,5,sometime of the day,5,5,5,4,3,social drinker,smoker,1,3,2,3,3,5,5,5,5,1,1,21
masters degree,65,5,3,4,5,3,2,5,3,1,2,1,4,4,5,5,2,1,1,sometime of the day,5,1,3,1,3,social drinker,smoker,2,1,1,1,1,3,4,4,4,1,1,22
secondary school,77,4,1,4,3,1,3,4,3,2,2,4,3,4,4,5,4,1,1,sometime of the day,5,2,4,1,3,social drinker,smoker,3,4,5,3,2,4,4,5,5,1,1,19
primary school,56,3,5,4,4,3,4,3,3,3,4,3,3,5,2,3,3,1,5,sometime of the day,4,2,4,2,3,social drinker,smoker,2,3,4,5,3,3,3,5,5,3,2,18
secondary school,62,4,2,2,4,3,3,4,4,3,3,3,1,2,1,3,4,1,4,most of the day,5,3,4,1,3,drink a lot,smoker,1,2,3,2,2,2,5,4,5,4,5,21
masters degree,53,2,4,3,5,2,4,4,3,2,3,2,5,4,4,5,5,2,4,sometime of the day,5,2,5,3,2,never,smoker,4,2,4,3,2,4,3,5,4,2,2,19
secondary school,78,4,4,3,4,5,4,3,3,3,4,2,3,3,3,3,4,3,3,sometime of the day,5,5,4,3,4,never,smoker,4,4,2,4,3,3,4,5,4,3,4,19
secondary school,80,3,3,1,5,4,4,5,2,4,2,5,2,2,5,2,5,1,3,sometime of the day,5,5,4,1,3,drink a lot,smoker,3,1,3,2,3,3,4,3,2,3,2,20
secondary school,56,3,3,5,3,2,3,5,4,5,3,4,3,5,5,4,4,1,1,sometime of the day,5,4,1,1,5,drink a lot,smoker,3,2,2,4,2,3,5,2,2,5,3,19
secondary school,83,3,1,1,5,5,5,3,1,2,4,2,2,2,3,5,4,5,4,sometime of the day,5,2,4,1,4,social drinker,smoker,5,1,2,4,4,4,3,3,2,2,4,18
secondary school,60,4,3,5,5,4,4,3,3,3,4,1,1,5,5,3,4,4,5,sometime of the day,5,2,3,2,3,social drinker,smoker,1,1,1,1,2,2,2,4,3,2,1,18
secondary school,62,3,3,2,2,4,5,4,3,1,3,2,3,5,4,5,2,5,2,sometime of the day,4,3,3,1,3,drink a lot,smoker,4,2,2,2,2,4,3,4,4,5,2,19
secondary school,55,5,4,3,2,3,4,5,1,2,3,1,2,5,5,5,3,1,1,sometime of the day,5,2,1,1,4,social drinker,smoker,1,1,1,2,3,2,3,1,1,3,3,18
